Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Phenotype,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,sex,SRA Study,strain,tissue,isolation_source,cell_line,LoadedStatus
SRR33564022,ATAC-seq,300,56083275900,PRJNA960830,SAMN48367769,Model organism or animal,16882930668,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX28794094,uncalculated,uncalculated,not provided,Illumina NovaSeq X Plus,KPC-2_HiA_post_r3,PAIRED,other,GENOMIC,Mus musculus,post-liver metastasis,ILLUMINA,2025-12-11T00:00:00Z,2025-05-14T15:20:00Z,1,KPC-2_HiA_post_r3,biological replicate 3,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,,Not Loaded
SRR33564023,ATAC-seq,300,59468372400,PRJNA960830,SAMN48367768,Model organism or animal,17944589254,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX28794093,uncalculated,uncalculated,not provided,Illumina NovaSeq X Plus,KPC-2_HiA_post_r2,PAIRED,other,GENOMIC,Mus musculus,post-liver metastasis,ILLUMINA,2025-12-11T00:00:00Z,2025-05-14T14:11:00Z,1,KPC-2_HiA_post_r2,biological replicate 2,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,,Not Loaded
SRR33564024,ATAC-seq,300,72543935700,PRJNA960830,SAMN48367767,Model organism or animal,21932670156,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX28794092,uncalculated,uncalculated,not provided,Illumina NovaSeq X Plus,KPC-2_HiA_post_r1,PAIRED,other,GENOMIC,Mus musculus,post-liver metastasis,ILLUMINA,2025-12-11T00:00:00Z,2025-05-14T14:17:00Z,1,KPC-2_HiA_post_r1,biological replicate 1,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,,Not Loaded
SRR33564025,ATAC-seq,300,50329138200,PRJNA960830,SAMN48367766,Model organism or animal,15246446316,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX28794091,uncalculated,uncalculated,not provided,Illumina NovaSeq X Plus,KPC-2_HiA_pre_r4,PAIRED,other,GENOMIC,Mus musculus,pre-injection,ILLUMINA,2025-12-11T00:00:00Z,2025-05-14T14:07:00Z,1,KPC-2_HiA_pre_r4,technical replicate 4,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,,Not Loaded
SRR33564026,ATAC-seq,300,61643762100,PRJNA960830,SAMN48367765,Model organism or animal,18612650201,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX28794090,uncalculated,uncalculated,not provided,Illumina NovaSeq X Plus,KPC-2_HiA_pre_r3,PAIRED,other,GENOMIC,Mus musculus,pre-injection,ILLUMINA,2025-12-11T00:00:00Z,2025-05-14T14:11:00Z,1,KPC-2_HiA_pre_r3,technical replicate 3,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,,Not Loaded
SRR33564027,ATAC-seq,300,57532459200,PRJNA960830,SAMN48367764,Model organism or animal,17311307651,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX28794089,uncalculated,uncalculated,not provided,Illumina NovaSeq X Plus,KPC-2_HiA_pre_r2,PAIRED,other,GENOMIC,Mus musculus,pre-injection,ILLUMINA,2025-12-11T00:00:00Z,2025-05-14T14:13:00Z,1,KPC-2_HiA_pre_r2,technical replicate 2,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,,Not Loaded
SRR33564028,ATAC-seq,300,56305900500,PRJNA960830,SAMN48367763,Model organism or animal,16920598991,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX28794088,uncalculated,uncalculated,not provided,Illumina NovaSeq X Plus,KPC-2_HiA_pre_r1,PAIRED,other,GENOMIC,Mus musculus,pre-injection,ILLUMINA,2025-12-11T00:00:00Z,2025-05-14T14:11:00Z,1,KPC-2_HiA_pre_r1,technical replicate 1,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,,Not Loaded
SRR35050614,OTHER,76,2541837784,PRJNA960830,SAMN50701111,Model organism or animal,771928605,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX30164811,uncalculated,uncalculated,not provided,NextSeq 2000,KPC-2_HiB_shControl_CUTandRun_FOS_rep2,PAIRED,other,GENOMIC,Mus musculus,shControl,ILLUMINA,2025-12-11T00:00:00Z,2025-08-20T12:38:00Z,1,KPC-2_HiB_shControl_CUTandRun_FOS_rep2,FOS technical replicate 2,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
SRR35050615,OTHER,76,2814838068,PRJNA960830,SAMN50701110,Model organism or animal,855761033,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX30164810,uncalculated,uncalculated,not provided,NextSeq 2000,KPC-2_HiB_shControl_CUTandRun_FOS_rep1,PAIRED,other,GENOMIC,Mus musculus,shControl,ILLUMINA,2025-12-11T00:00:00Z,2025-08-20T12:37:00Z,1,KPC-2_HiB_shControl_CUTandRun_FOS_rep1,FOS technical replicate 1,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
SRR35050616,OTHER,76,2569958012,PRJNA960830,SAMN50701109,Model organism or animal,779872632,JOHNS HOPKINS UNIVERSITY,not provided,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,SRX30164809,uncalculated,uncalculated,not provided,NextSeq 2000,KPC-2_HiB_shControl_CUTandRun_NoAb,PAIRED,other,GENOMIC,Mus musculus,shControl,ILLUMINA,2025-12-11T00:00:00Z,2025-08-20T12:36:00Z,1,KPC-2_HiB_shControl_CUTandRun_NoAb,NoAb control,female,SRP435350,C57BL/6,pancreatic tumor derived cell line,,KPC-2_HiB,Not Loaded
