SRR,SRX,sample_name,assay,experiment_type,action
SRR31189893,SRX26571387,KPC-2_Hi1_ATAC_r1,ATAC-seq,met-high,KEEP
SRR31189892,SRX26571388,KPC-2_Hi1_ATAC_r2,ATAC-seq,met-high,KEEP
SRR31189891,SRX26571389,KPC-2_Hi2_ATAC,ATAC-seq,met-high,KEEP
SRR31189869,SRX26571411,KPC-1_Hi1_ATAC,ATAC-seq,met-high,KEEP
SRR31189868,SRX26571412,KPC-1_Hi2_ATAC,ATAC-seq,met-high,KEEP
SRR31189867,SRX26571413,KPC-1_Hi3_ATAC,ATAC-seq,met-high,KEEP
SRR31192738,SRX26574050,KPC-2_Lo1_ATAC,ATAC-seq,met-low,KEEP
SRR31189898,SRX26571382,KPC-2_Lo2_ATAC,ATAC-seq,met-low,KEEP
SRR31189897,SRX26571383,KPC-2_Lo3_ATAC_r1,ATAC-seq,met-low,KEEP
SRR31189896,SRX26571384,KPC-2_Lo3_ATAC_r2,ATAC-seq,met-low,KEEP
SRR31189895,SRX26571385,KPC-2_Lo4_ATAC,ATAC-seq,met-low,KEEP
SRR31189894,SRX26571386,KPC-2_Lo5_ATAC,ATAC-seq,met-low,KEEP
SRR31189900,SRX26571380,KPC-1_Lo1_ATAC,ATAC-seq,met-low,KEEP
SRR31189899,SRX26571381,KPC-1_Lo2_ATAC,ATAC-seq,met-low,KEEP
SRR31189888,SRX26571392,KPC-1_Lo3_ATAC,ATAC-seq,met-low,KEEP
SRR31189877,SRX26571403,KPC-1_Lo4_ATAC,ATAC-seq,met-low,KEEP
SRR31189872,SRX26571408,KPC-1_Lo5_ATAC,ATAC-seq,met-low,KEEP
SRR31189871,SRX26571409,KPC-1_Lo6_ATAC,ATAC-seq,met-low,KEEP
SRR31189870,SRX26571410,KPC-1_Lo7_ATAC,ATAC-seq,met-low,KEEP
SRR31192742,SRX26574047,KPC-1_parental_ATAC_r1,ATAC-seq,parental,OPTIONAL
SRR31192741,SRX26574046,KPC-1_parental_ATAC_r2,ATAC-seq,parental,OPTIONAL
SRR31192740,SRX26574048,KPC-2_parental_ATAC_r1,ATAC-seq,parental,OPTIONAL
SRR31192739,SRX26574049,KPC-2_parental_ATAC_r2,ATAC-seq,parental,OPTIONAL
SRR33564028,SRX28794088,Pre-injection replicate 1,ATAC-seq,pre/post-colonization,DELETE
SRR33564027,SRX28794089,Pre-injection replicate 2,ATAC-seq,pre/post-colonization,DELETE
SRR33564026,SRX28794090,Pre-injection replicate 3,ATAC-seq,pre/post-colonization,DELETE
SRR33564025,SRX28794091,Pre-injection replicate 4,ATAC-seq,pre/post-colonization,DELETE
SRR33564024,SRX28794092,Post-liver metastasis rep 1,ATAC-seq,pre/post-colonization,DELETE
SRR33564023,SRX28794093,Post-liver metastasis rep 2,ATAC-seq,pre/post-colonization,DELETE
SRR33564022,SRX28794094,Post-liver metastasis rep 3,ATAC-seq,pre/post-colonization,DELETE
SRR31192737,SRX26574051,KPC-2_Lo1_RNA,RNA-seq,met-low,OPTIONAL
SRR31189873,SRX26571407,KPC-2_Hi2_RNA,RNA-seq,met-high,OPTIONAL
SRR31189874,SRX26571406,KPC-2_Hi1_RNA,RNA-seq,met-high,OPTIONAL
SRR31189875,SRX26571405,KPC-2_Lo5_RNA,RNA-seq,met-low,OPTIONAL
SRR31189876,SRX26571404,KPC-2_Lo4_RNA,RNA-seq,met-low,OPTIONAL
SRR31189878,SRX26571402,KPC-2_Lo3_RNA,RNA-seq,met-low,OPTIONAL
SRR31189879,SRX26571401,KPC-2_Lo2_RNA,RNA-seq,met-low,OPTIONAL
SRR31189880,SRX26571400,KPC-1_Hi3_RNA,RNA-seq,met-high,OPTIONAL
SRR31189881,SRX26571399,KPC-1_Hi2_RNA,RNA-seq,met-high,OPTIONAL
SRR31189882,SRX26571398,KPC-1_Hi1_RNA,RNA-seq,met-high,OPTIONAL
SRR31189883,SRX26571397,KPC-1_Lo7_RNA,RNA-seq,met-low,OPTIONAL
SRR31189884,SRX26571396,KPC-1_Lo6_RNA,RNA-seq,met-low,OPTIONAL
SRR31189885,SRX26571395,KPC-1_Lo5_RNA,RNA-seq,met-low,OPTIONAL
SRR31189886,SRX26571394,KPC-1_Lo4_RNA,RNA-seq,met-low,OPTIONAL
SRR31189887,SRX26571393,KPC-1_Lo3_RNA,RNA-seq,met-low,OPTIONAL
SRR31189889,SRX26571391,KPC-1_Lo2_RNA,RNA-seq,met-low,OPTIONAL
SRR31189890,SRX26571390,KPC-1_Lo1_RNA,RNA-seq,met-low,OPTIONAL
SRR35050622,SRX30164803,KPC-2_HiB shFos1 rep 1,RNA-seq,Fos-KD,DELETE
SRR35050621,SRX30164804,KPC-2_HiB shFos1 rep 2,RNA-seq,Fos-KD,DELETE
SRR35050620,SRX30164805,KPC-2_HiB shFos1 rep 3,RNA-seq,Fos-KD,DELETE
SRR35050619,SRX30164806,KPC-2_HiB shFos2 rep 1,RNA-seq,Fos-KD,DELETE
SRR35050618,SRX30164807,KPC-2_HiB shFos2 rep 2,RNA-seq,Fos-KD,DELETE
SRR35050617,SRX30164808,KPC-2_HiB shFos2 rep 3,RNA-seq,Fos-KD,DELETE
SRR34560820,SRX29703187,KPC-2_HiB shControl rep 1,RNA-seq,Fos-KD,DELETE
SRR34560819,SRX29703188,KPC-2_HiB shControl rep 2,RNA-seq,Fos-KD,DELETE
SRR34560818,SRX29703189,KPC-2_HiB shControl rep 3,RNA-seq,Fos-KD,DELETE
SRR35050616,SRX30164809,KPC-2_HiB CUT&RUN No Ab,CUT&RUN,c-Fos binding,DELETE
SRR35050615,SRX30164810,KPC-2_HiB CUT&RUN FOS rep1,CUT&RUN,c-Fos binding,DELETE
SRR35050614,SRX30164811,KPC-2_HiB CUT&RUN FOS rep2,CUT&RUN,c-Fos binding,DELETE
