SampleID,Tissue,Condition,Replicate,bamReads,Peaks,PeakCaller
KPC-1_Hi1,KPC-1,Hi,1,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Hi1/align/rep1/SRR31189869.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.bam,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Hi1/peak/rep1-pseudorep1_vs_2/rep1-pr1_vs_rep1-pr2.idr0.05.bfilt.narrowPeak.gz,narrowPeak
KPC-1_Hi2,KPC-1,Hi,2,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Hi2/align/rep1/SRR31189868.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.bam,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Hi2/peak/rep1-pseudorep1_vs_2/rep1-pr1_vs_rep1-pr2.overlap.bfilt.narrowPeak.gz,narrowPeak
KPC-1_Hi3,KPC-1,Hi,3,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Hi3/align/rep1/SRR31189867.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.bam,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Hi3/peak/rep1-pseudorep1_vs_2/rep1-pr1_vs_rep1-pr2.overlap.bfilt.narrowPeak.gz,narrowPeak
KPC-1_Lo1,KPC-1,Lo,1,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo1/align/rep1/SRR31189900.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.bam,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo1/peak/rep1/SRR31189900.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.pval0.01.300K.bfilt.narrowPeak.gz,narrowPeak
KPC-1_Lo2,KPC-1,Lo,2,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo2/align/rep1/SRR31189899.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.bam,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo2/peak/rep1/SRR31189899.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.pval0.01.300K.bfilt.narrowPeak.gz,narrowPeak
KPC-1_Lo3,KPC-1,Lo,3,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo3/align/rep1/SRR31189888.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.bam,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo3/peak/rep1/SRR31189888.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.pval0.01.300K.bfilt.narrowPeak.gz,narrowPeak
KPC-1_Lo4,KPC-1,Lo,4,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo4/align/rep1/SRR31189877.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.bam,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo4/peak/rep1/SRR31189877.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.pval0.01.300K.bfilt.narrowPeak.gz,narrowPeak
KPC-1_Lo5,KPC-1,Lo,5,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo5/align/rep1/SRR31189872.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.bam,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo5/peak/rep1-pseudorep1_vs_2/rep1-pr1_vs_rep1-pr2.overlap.bfilt.narrowPeak.gz,narrowPeak
KPC-1_Lo6,KPC-1,Lo,6,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo6/align/rep1/SRR31189871.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.bam,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo6/peak/rep1/SRR31189871.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.pval0.01.300K.bfilt.narrowPeak.gz,narrowPeak
KPC-1_Lo7,KPC-1,Lo,7,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo7/align/rep1/SRR31189870.sra_1.fastq.trim.srt.nodup.no_chrM_MT.tn5.bam,/scratch/rprest2/Enhancer-Creation/croo_out/KPC-1_Lo7/peak/rep1-pseudorep1_vs_2/rep1-pr1_vs_rep1-pr2.idr0.05.bfilt.narrowPeak.gz,narrowPeak
